,Month,Volume_Super_Bacon_Thick_454g,kg_Avg_Price_Super_Bacon_Thick_454g,kg_Avg_Price_Super_Bacon_Thick_681g,Promos__Super_Bacon_Thick_454g_lowDisp,Promos__Super_Bacon_Thick_454g_Disp,Promos__Super_Bacon_Thick_454g_Other,Promos__Super_Bacon_Thick_454g_low_Money_Off,Promos__Super_Bacon_Thick_454g_MB,Promos__Super_Bacon_Thick_454g_2for3pn,Promos__Super_Bacon_Thick_454g_TPR,Promos__Super_Bacon_Thick_681g_Disp,Promos__Super_Bacon_Thick_681g_TPR,Promos__Super_Bacon_Thick_681g_Half_Price,Promos__Super_Bacon_Thin_340g_Disp,Promos__Super_Bacon_Thin_340g_Money_Off,Economy_Consumer_Confidence_Index_,Horse_Meat_Scandal,Super_Bacon_Media__Bacon__TV_Spend,Super_Bacon_Media__Press__Spend,Super_Bacon_Media__Facebook_Spend,Super_Bacon_Media__TV_Sponsorship,Seasonality__Average_Temperature_C,Seasonality__Snow_,Seasonality__Precipitation_,Seasonality__Sunshine_,Seasonality__New_Years_Day,Seasonality__Valentines_Day,Seasonality__Easter_Monday_BH,Seasonality__Early_May_BH,Seasonality__Spring_BH,Seasonality__Summer_BH,Seasonality__Christmas,Seasonality__New_Years_Eve,Seasonality__Royal_Wedding_BH,Seasonality__Diamond_Jubilee_BH,Seasonality__All_Bank_Holidays,Seasonality__2012_London_Olympics,Seasonality__2011_Riots,Seasonality__Football_Euros,Seasonality__Mothers_Day,Seasonality__Fathers_Day,Seasonality__St_Patricks_Day
Promos__Super_Bacon_Thick_454g_TPR,-0.04917810145382495,0.8158071485082791,-0.17957704772482597,0.45368115468312975,-0.05458106569315505,0.3336242776783422,-0.12269933409129291,-0.1337096452201628,-0.07262590844893367,-0.07698485382381606,1.0,-0.2009195253900812,-0.20146863819799354,-0.1687997671268346,-0.07118889450612317,-0.09322683324182016,0.639720148350438,-0.09061329623876153,-0.11653820196168864,-0.050670653411133484,0.273818483094884,0.19615812645031663,0.04674374306474648,-0.11916221913512741,-0.0675290279722854,0.014583295992621809,0.024540038642096796,0.008333916020266438,-0.04909708368135957,-0.0670604336976484,0.07247090740067479,0.05015807354043872,-0.06706043369764837,0.024540038642096806,-0.038473083447538525,-0.038473083447538484,-0.03861547319422895,-0.06481382342565076,-0.04532600879541011,-0.07555963590715613,-0.02051165673430057,0.0724709074006748,-0.06706043369764834
Promos__Super_Bacon_Thick_681g_Disp,0.1559054321792356,-0.3577258237994036,-0.11695204565409091,-0.6170071505445027,-0.046596472590291836,-0.048116718509232215,0.027133815264232388,0.10563060628209058,-0.06200155877150967,-0.06572283969748391,-0.2009195253900812,1.0,0.12364967441348537,0.7035710692741488,-0.060774763729168915,-0.07553558388079949,-0.1990092756519638,-0.0007981831523368587,-0.005868489362910837,0.179536367312763,-0.07879981831950938,-0.0572502500821897,-0.08371691832039735,-0.05640439614775915,-0.01963338566896053,-0.1446401719779895,-0.057250250082189647,0.09101284076673616,-0.06631843719563178,-0.057250250082189695,-0.057250250082189695,-0.05725025008218969,-0.057250250082189647,-0.057250250082189674,-0.03284490611461362,-0.0328449061146136,-0.15934947247527942,0.12204514597573501,-0.021998551192858793,0.15570747514126546,-0.023394493021574956,0.0630225033015484,-0.057250250082189674
Promos__Super_Bacon_Thick_681g_TPR,0.07862399575451853,-0.29278922520276496,-0.1119131209832421,-0.3362445897382266,-0.05894878381295087,-0.0637132958578033,0.08305046484694013,-0.025066285191124332,-0.0784376215818787,-0.08314538104559004,-0.20146863819799354,0.12364967441348537,1.0,-0.228699551302334,-0.07688561406470854,-0.08727751141813347,-0.10720623956886506,-0.11877077999314742,-0.06483830950007924,-0.05472545022088979,-0.09968895060920052,-0.0724267831388488,0.31544365835568494,-0.1289010988142058,0.08317401139817095,0.05152117687961221,-0.04694476143650968,-0.047901663516927886,-0.04880614875583716,0.06894635116485054,0.05399709309052692,-0.011695269052624645,-0.012968731934274273,-0.04694476143650968,0.027968355850778785,0.1760392335291208,0.0012381678684470479,0.3408781208739067,0.10120287346615257,0.41034300370419213,0.0038329275243427917,0.07506773912875621,-0.016748951951150007
Promos__Super_Bacon_Thick_681g_Half_Price,0.0925561934729121,-0.3552932810923754,0.037042396252370415,-0.6797161754202525,0.09684756913406745,-0.12797349668233823,-0.11039860013082343,0.14626098540029467,-0.06534508671437524,-0.06926704334924735,-0.1687997671268346,0.7035710692741488,-0.228699551302334,1.0,-0.06405213489169694,-0.01713080711641611,-0.09459073155192818,0.07787351125483831,0.01003128644680648,0.2687978261057818,-0.08304921784533348,0.015774826273762765,-0.2942580557899527,0.0551801084765146,-0.07142789543501435,-0.18770170447155404,-0.06033755650929528,0.07913998737667992,0.09951396176407677,-0.06033755650929526,-0.06033755650929527,-0.06033755650929528,-0.06033755650929527,-0.06033755650929528,-0.03461611741237656,-0.03461611741237653,-0.10979205142883619,-0.058316171218943814,-0.04078202997261222,-0.06798470498901174,-0.01808644345252337,-0.060337556509295245,-0.060337556509295294
Promos__Super_Bacon_Thin_340g_Disp,0.13822598658497148,-0.033075381211759285,0.02602305262719011,0.07101960142006732,-0.01650985072330606,-0.04302291290209937,-0.0371144766774011,-0.04044490987518301,-0.02196811095402924,-0.023286618325338744,-0.07118889450612317,-0.060774763729168915,-0.07688561406470854,-0.06405213489169694,1.0,0.37300692767875804,-0.12964172344362948,-0.033264262994797955,-0.035250838244282566,-0.015327017038714667,-0.02791999405014598,-0.020284648819658073,0.03195847711415297,0.015029788530891111,0.03787807601327894,-0.05791764093461302,-0.02028464881965807,-0.020284648819658076,-0.023497647728187653,-0.020284648819658083,-0.02028464881965811,0.4420003328066912,-0.020284648819658076,-0.02028464881965808,-0.011637458091328809,-0.011637458091328826,0.08140254982893352,-0.01960508714835167,-0.013710352291441652,-0.022855513971595992,-0.023497647728187663,-0.02028464881965809,-0.020284648819658066
Promos__Super_Bacon_Thin_340g_Money_Off,0.08081740157773122,-0.10273149587364488,0.10016734466108555,0.02793298349948692,-0.04296279368989939,-0.11195646538112808,-0.0965812248168205,0.09201194016891039,-0.057166562829211266,-0.06059765140302969,-0.09322683324182016,-0.07553558388079949,-0.08727751141813347,-0.01713080711641611,0.37300692767875804,1.0,0.03358178923853781,-0.0865619981817669,-0.09173156779347656,-0.03988476225204843,-0.07265486310583916,-0.0527857699573748,-0.07453114995030662,-0.0500372912324993,0.06185940595261058,-0.11625271282400851,-0.05278576995737479,0.10634638094210773,-0.061146803109429035,-0.05278576995737477,-0.0527857699573748,0.12158741133885016,-0.052785769957374794,-0.052785769957374794,-0.03028359973884072,-0.030283599738840733,-0.05974396060042232,-0.05101737917218821,-0.035677793020959296,-0.059475809193849614,0.04133530401499322,-0.05278576995737479,0.06517290558691534
Economy_Consumer_Confidence_Index_,-0.11507453661234293,0.4257988163947655,0.22510646308632815,0.4224479030346244,-0.08054439186918283,-0.014914035241117578,-0.1771351077415957,-0.22958932607875263,-0.07980149075024857,-0.11641378049519535,0.639720148350438,-0.1990092756519638,-0.10720623956886506,-0.09459073155192818,-0.12964172344362948,0.03358178923853781,1.0,-0.0738919988662518,-0.17079167239863338,-0.03168830588026683,0.0858353435978659,0.3077620265098402,-0.03912478567864581,-0.11762616979354976,-0.0022910151469685866,-0.02359239426206976,0.030759621782007092,0.03381867348853266,0.034356422594222724,-0.01918730841383976,-0.0326629584915954,-0.0015502930938839806,0.01668798403433071,0.026877790714846313,-0.003897124236514607,-0.05473164573525069,0.013104047332302863,-0.0903777545427868,-0.08347226912527185,-0.10749081835341137,0.0074174864494973665,-0.03706693804627439,0.03677224065024572
Horse_Meat_Scandal,-0.28407106910155616,-0.11185636201644296,0.3436956612512516,0.10942325851176274,-0.02550396289125251,-0.04692917455007995,-0.057333421832365776,-0.062478183351506664,-0.03393573303310189,-0.03597252692259789,-0.09061329623876153,-0.0007981831523368587,-0.11877077999314742,0.07787351125483831,-0.033264262994797955,-0.0865619981817669,-0.0738919988662518,1.0,-0.05445452448571259,0.02562841699569303,-0.020934808901801345,-0.031335167072610165,-0.32493766115784045,0.5053711316655944,-0.04423263823805913,-0.14570593538462914,-0.03133516707261017,0.3311830347797126,-0.01740124245758883,-0.01683443899851725,-0.024084803035563707,-0.03133516707261018,-0.03133516707261018,-0.03133516707261017,-0.017977224887368536,-0.017977224887368526,-0.06451470417187705,-0.030285398910693925,-0.021179374782191104,-0.03530656878497579,0.01094467285794047,-0.024084803035563703,0.004916653112622126
Super_Bacon_Media__Bacon__TV_Spend,-0.17778307890360442,0.08001677543360748,-0.1603122447673496,-0.06705529393262749,0.21647882336586183,-0.007109932739295744,-0.06075743146090465,0.314897022376625,0.38135489116820787,-0.03812084241833062,-0.11653820196168864,-0.005868489362910837,-0.06483830950007924,0.01003128644680648,-0.035250838244282566,-0.09173156779347656,-0.17079167239863338,-0.05445452448571259,1.0,-0.025090753544070532,-0.04570580745716164,-0.033206534772975194,-0.04202254983071337,-0.01250184001069686,-0.007352322009981752,-0.05848501330044274,0.2013085376576508,0.18130051877519696,-0.03846630342513061,-0.033206534772975166,-0.0332065347729752,-0.03320653477297519,-0.033206534772975166,-0.033206534772975166,-0.019050842842507,-0.019050842842507038,-0.022489525670714647,-0.03209407340037555,-0.022444228350371416,-0.0374151125907841,-0.038466303425130625,0.1959139295791737,-0.03320653477297518
Super_Bacon_Media__Press__Spend,-0.07655806933975384,-0.14951435188841283,0.0815465278637622,-0.14556215924711277,-0.011751340285221571,-0.030622741419480157,-0.026417249450255656,-0.028787776868113284,-0.015636407110566863,-0.016574890992008536,-0.050670653411133484,0.179536367312763,-0.05472545022088979,0.2687978261057818,-0.015327017038714667,-0.03988476225204843,-0.03168830588026683,0.02562841699569303,-0.025090753544070532,1.0,-0.019872823585344063,-0.014438156639994527,-0.05729540823576641,-0.025792516810923656,-0.0396020064389773,0.019942162939629724,-0.014438156639994527,-0.014438156639994532,-0.016725096972948432,-0.014438156639994546,-0.014438156639994546,-0.014438156639994537,-0.014438156639994527,-0.01443815663999453,-0.008283280835068936,-0.008283280835068928,-0.04018694487440016,-0.013954459932001725,-0.00975872028809814,-0.016268040612548742,-0.01672509697294844,-0.014438156639994542,-0.014438156639994532
Super_Bacon_Media__Facebook_Spend,-0.019969608477914343,0.20526621290973057,0.05412690446710154,0.2271735307202946,-0.02140647133201994,0.3807969801376239,-0.04812217834751053,-0.05244037746186625,-0.028483585057024086,-0.030193145653180813,0.273818483094884,-0.07879981831950938,-0.09968895060920052,-0.08304921784533348,-0.02791999405014598,-0.07265486310583916,0.0858353435978659,-0.020934808901801345,-0.04570580745716164,-0.019872823585344063,1.0,-0.02630082856080181,0.19928563804711455,-0.046984153151282,-0.19956543907055815,0.3435170738702623,-0.026300828560801803,-0.026300828560801803,-0.030466763806246418,-0.026300828560801806,0.27081846526490777,-0.026300828560801803,-0.026300828560801796,-0.026300828560801806,-0.015088986398765504,-0.015088986398765492,0.015401529608714465,-0.025419717175910527,-0.017776675767536526,-0.0296341809996437,-0.030466763806246418,-0.026300828560801803,-0.026300828560801813
Super_Bacon_Media__TV_Sponsorship,-0.10132131692326814,0.2030280906284797,-0.011038858343704357,0.044329168826488075,-0.015552394196725548,-0.04052788315040873,-0.03496209513737703,-0.038099386370704015,-0.020694113292748832,-0.021936156405891385,0.19615812645031663,-0.0572502500821897,-0.0724267831388488,0.015774826273762765,-0.020284648819658073,-0.0527857699573748,0.3077620265098402,-0.031335167072610165,-0.033206534772975194,-0.014438156639994527,-0.02630082856080181,1.0,0.006470471168574268,-0.034135288318867106,-0.0539760530055658,0.122792062687876,-0.01910828025477708,-0.01910828025477708,0.27299768670836594,-0.01910828025477709,-0.01910828025477708,-0.01910828025477708,-0.019108280254777087,-0.01910828025477708,-0.010962566453052493,-0.010962566453052481,0.14942647834068123,-0.01846812843449297,-0.012915247205201999,-0.021530053106612813,-0.0221349475709486,-0.019108280254777083,-0.019108280254777076
Seasonality__Average_Temperature_C,0.2553995292042083,0.05693265688165706,-0.19987132762455737,0.02818709001708949,-0.2226420447412477,0.14151159015186424,0.09050922266432049,-0.15941245907440235,0.11287856034324194,-0.053242446361400776,0.04674374306474648,-0.08371691832039735,0.31544365835568494,-0.2942580557899527,0.03195847711415297,-0.07453114995030662,-0.03912478567864581,-0.32493766115784045,-0.04202254983071337,-0.05729540823576641,0.19928563804711455,0.006470471168574268,1.0,-0.39466224683697154,-0.20652854855383013,0.6275638087831487,-0.10880293965144927,-0.1562469211723579,-0.04416747491892881,0.04520572454174245,0.08841581834894477,0.15407060216153423,-0.1088754534495293,-0.09059799715443599,0.04249894227281293,0.02997867704581553,-0.03529039189903222,0.18312214602279603,0.11153529372347804,0.11985914802224969,-0.05173537522250884,0.125984642287967,-0.11596056836997816
Seasonality__Snow_,-0.20084362871358494,-0.06982945611397391,0.20597006651174204,0.09714180897878591,0.3179911163883488,-0.07239955442597718,-0.06245675601537537,0.1019152112211462,-0.0369682417429837,-0.03895243080583638,-0.11916221913512741,-0.05640439614775915,-0.1289010988142058,0.0551801084765146,0.015029788530891111,-0.0500372912324993,-0.11762616979354976,0.5053711316655944,-0.01250184001069686,-0.025792516810923656,-0.046984153151282,-0.034135288318867106,-0.39466224683697154,1.0,0.03548991967047289,-0.2286108142704678,-0.003928251848483644,0.21719707852895753,-0.03932233785148141,-0.034135288318867106,-0.0341352883188671,-0.034135288318867085,-0.0115414073822807,-0.0341352883188671,-0.019583675851526962,-0.01958367585152694,-0.008539159051704017,-0.0329917125149806,-0.023071970956088313,-0.038461575846471814,-0.01596544421096181,-0.034135288318867085,0.01715703144718789
Seasonality__Precipitation_,0.13007158264840313,-0.03912796156231589,-0.03986932858007476,0.018620943251523556,-0.05960320938752181,0.07199433760058388,0.17933709571235318,-0.1799970492996032,0.05100344392210666,0.12369369709750015,-0.0675290279722854,-0.01963338566896053,0.08317401139817095,-0.07142789543501435,0.03787807601327894,0.06185940595261058,-0.0022910151469685866,-0.04423263823805913,-0.007352322009981752,-0.0396020064389773,-0.19956543907055815,-0.0539760530055658,-0.20652854855383013,0.03548991967047289,1.0,-0.4735202342902868,0.13970284097505709,0.11322906895738453,-0.10590254055055569,-0.015059201747484388,0.06984933163850252,-0.05209117616921409,0.15214328459123005,0.10323360730471512,-0.12341812893839868,0.18248634016367268,0.04297513818076732,-0.04909819654033604,0.07920599434370801,0.17182800349226696,-0.1177980668898124,0.026977216064366635,-0.017165476123147744
Seasonality__Sunshine_,-0.12900616754272148,0.08330846706520131,-0.12464857136330394,0.05136899202407321,-0.07610769134930158,0.22909194700643967,0.12148107369820049,-0.10353731219075313,0.0957127713335585,0.03548364489821355,0.014583295992621809,-0.1446401719779895,0.05152117687961221,-0.18770170447155404,-0.05791764093461302,-0.11625271282400851,-0.02359239426206976,-0.14570593538462914,-0.05848501330044274,0.019942162939629724,0.3435170738702623,0.122792062687876,0.6275638087831487,-0.2286108142704678,-0.4735202342902868,1.0,-0.15586049520905604,-0.1447601139334172,0.170838663638661,0.15713387097954282,0.12481567419854764,0.0357313986132072,-0.18816179047457016,-0.18267732185679844,0.19603847191557688,-0.02553804170247677,0.07664809475329663,0.11159535820859652,-0.011289995470781989,0.007274072365814152,0.040740436079675625,0.03261533832603292,-0.0804854590377378
